CORP_KEY|CIFID|CORP_REP_KEY|ADDRESSCATEGORY|START_DATE|PHONENO1LOCALCODE|PHONENO1CITYCODE|PHONENO1COUNTRYCODE|PHONENO2LOCALCODE|PHONENO2CITYCODE|PHONENO2COUNTRYCODE|FAXNOLOCALCODE|FAXNOCITYCODE|FAXNOCOUNTRYCODE|EMAIL|PAGERNOLOCALCODE|PAGERNOCITYCODE|PAGERNOCOUNTRYCODE|TELEXLOCALCODE|TELEXCITYCODE|TELEXCOUNTRYCODE|HOUSE_NO|PREMISE_NAME|BUILDING_LEVEL|STREET_NO|STREET_NAME|SUBURB|LOCALITY_NAME|TOWN|DOMICILE|CITY_CODE|STATE_CODE|ZIP|COUNTRY_CODE|SMALL_STR1|SMALL_STR2|SMALL_STR3|SMALL_STR4|SMALL_STR5|SMALL_STR6|SMALL_STR7|SMALL_STR8|SMALL_STR9|SMALL_STR10|MED_STR1|MED_STR2|MED_STR3|MED_STR4|MED_STR5|MED_STR6|MED_STR7|MED_STR8|MED_STR9|MED_STR10|LARGE_STR1|LARGE_STR2|LARGE_STR3|LARGE_STR4|LARGE_STR5|DATE1|DATE2|DATE3|DATE4|DATE5|DATE6|DATE7|DATE8|DATE9|DATE10|NUMBER1|NUMBER2|NUMBER3|NUMBER4|NUMBER5|NUMBER6|NUMBER7|NUMBER8|NUMBER9|NUMBER10|DECIMAL1|DECIMAL2|DECIMAL3|DECIMAL4|DECIMAL5|DECIMAL6|DECIMAL7|DECIMAL8|DECIMAL9|DECIMAL10|PREFERREDADDRESS|HOLDMAILINITIATEDBY|HOLDMAILFLAG|BUSINESSCENTER|HOLDMAILREASON|PREFERREDFORMAT|FREETEXTADDRESS|FREETEXTLABEL|IS_ADDRESS_PROOF_RCVD|LASTUPDATE_DATE|ADDRESS_LINE1|ADDRESS_LINE2|ADDRESS_LINE3|BANK_ID|ISADDRESSVERIFIED
C000000105|C000000105||Mailing|01-01-1900||||||||||www.ncell.axiata.com||||||||||||||||DEF_CITY_CODE|DEF_STATE_CODE|DEF_ZIP_CODE|NEPAL||||||||||||||||||||||||||||||||||||||||||||||||||||||||Y|||DEF_BUS_CENTER||FREE_TEXT_FORMAT|Address1: LALITPUR METROPOLITAN/Address2: WARD NO 4,NAKHKHU,/Address3: NEPAL/ContactAdd1: LALITPUR METROPOLITAN CITY/ContactAdd2: WARD NO 4,NAKHKHU,NEPAL/ContactAdd3: /City: KATHMANDU/PhoneNo: 9805554444//MobileNo: 9802100666/Fax2: /FaxNo: /PagerNo: 34|FULL_ADDRESS_PUMORI|||LALITPUR METROPOLITAN|WARD NO 4,NAKHKHU,|NEPAL|01|
C000000123|C000000123||Mailing|01-01-1900||||||||||||||||||||||||||DEF_CITY_CODE|DEF_STATE_CODE|DEF_ZIP_CODE|NEPAL||||||||||||||||||||||||||||||||||||||||||||||||||||||||Y|||DEF_BUS_CENTER||FREE_TEXT_FORMAT|Address1: G.P.O. BOX-11543, NMB BHAWAN,/Address2: BABARMAHAL,KATHMANDU/Address3: /ContactAdd1: NEPAL MERCHANT BANKING&FINANCE LTD./ContactAdd2: DURBAR MARG,KATHMANDU/ContactAdd3: /City: KATHMANDU/PhoneNo: 246160/MobileNo: /Fax2: /FaxNo: 246156/PagerNo:|FULL_ADDRESS_PUMORI|||G.P.O. BOX-11543, NMB BHAWAN,|BABARMAHAL,KATHMANDU||01|
C000000125|C000000125||Mailing|01-01-1900||||||||||uic@mail.com.np||||||||||||||||DEF_CITY_CODE|DEF_STATE_CODE|DEF_ZIP_CODE|NEPAL||||||||||||||||||||||||||||||||||||||||||||||||||||||||Y|||DEF_BUS_CENTER||FREE_TEXT_FORMAT|Address1: I.J.PLAZA,/Address2: TINDHARA PATHSHALA/Address3: KATHMANDU, NEPAL/ContactAdd1: TRADE TOWER,FOURTH FLOOR/ContactAdd2: THAPATHALI ,POBOX:9075/ContactAdd3: KATHMANDU/City: KATHMANDU/PhoneNo: 5111111/MobileNo: 9849148528/Fax2: /FaxNo: 5111112/PagerNo:|FULL_ADDRESS_PUMORI|||I.J.PLAZA,|TINDHARA PATHSHALA|KATHMANDU, NEPAL|01|
C000000199|C000000199||Mailing|01-01-1900||||||||||oam@stcnepal.com||||||||||||||||DEF_CITY_CODE|DEF_STATE_CODE|DEF_ZIP_CODE|NEPAL||||||||||||||||||||||||||||||||||||||||||||||||||||||||Y|||DEF_BUS_CENTER||FREE_TEXT_FORMAT|Address1: KALIMATI, KATHMANDU/Address2: P.O.BOX: 482/Address3: /ContactAdd1: KALIMATI, KATHMANDU/ContactAdd2: P.O.BOX: 482/ContactAdd3: /City: KATHMANDU/PhoneNo: 4271593/MobileNo: 9852021981/Fax2: /FaxNo: 4271704 om/PagerNo: 33|FULL_ADDRESS_PUMORI|||KALIMATI, KATHMANDU|P.O.BOX: 482||01|
C000000223|C000000223||Mailing|01-01-1900||||||||||info@cwish.org.np||||||||||||||||DEF_CITY_CODE|DEF_STATE_CODE|DEF_ZIP_CODE|NEPAL||||||||||||||||||||||||||||||||||||||||||||||||||||||||Y|||DEF_BUS_CENTER||FREE_TEXT_FORMAT|Address1: KHADKA BHADRAKALI-7, KATHMANDU/Address2: /Address3: /ContactAdd1: BUDDHANAGAR, KATHMADU/ContactAdd2: P.O.BOX:21433/ContactAdd3: /City: KATHMANDU/PhoneNo: 4784545, 4781386/MobileNo: /Fax2: /FaxNo: /PagerNo: 2061213|FULL_ADDRESS_PUMORI|||KHADKA BHADRAKALI-7, KATHMANDU|||01|
C000000240|C000000240||Mailing|01-01-1900||||||||||||||||||||||||||DEF_CITY_CODE|DEF_STATE_CODE|DEF_ZIP_CODE|NEPAL||||||||||||||||||||||||||||||||||||||||||||||||||||||||Y|||DEF_BUS_CENTER||FREE_TEXT_FORMAT|Address1: BALUWA-5, KATHMANDU/Address2: /Address3: /ContactAdd1: BALUWA-5, KATHMANDU/ContactAdd2: /ContactAdd3: /City: KATHMANDU/PhoneNo: /MobileNo: 9851045541/Fax2: /FaxNo: /PagerNo:|FULL_ADDRESS_PUMORI|||BALUWA-5, KATHMANDU|||01|
C000000661|C000000661||Mailing|01-01-1900||||||||||nbic@mos.com.np||||||||||||||||DEF_CITY_CODE|DEF_STATE_CODE|DEF_ZIP_CODE|NEPAL||||||||||||||||||||||||||||||||||||||||||||||||||||||||Y|||DEF_BUS_CENTER||FREE_TEXT_FORMAT|Address1: SHANTA MARG, KAMLADI-31/Address2: KATHMANDU /Address3: /ContactAdd1: SHANTA MARG, KAMLADI-31/ContactAdd2: KATHMANDU /ContactAdd3: /City: KATHMANDU/PhoneNo: 4418862, 4442438/MobileNo: 9851030813/Fax2: /FaxNo: 4425398/PagerNo:|FULL_ADDRESS_PUMORI|||SHANTA MARG, KAMLADI-31|KATHMANDU||01|
C000000674|C000000674||Mailing|01-01-1900||||||||||||||||||||||||||DEF_CITY_CODE|DEF_STATE_CODE|DEF_ZIP_CODE|NEPAL||||||||||||||||||||||||||||||||||||||||||||||||||||||||Y|||DEF_BUS_CENTER||FREE_TEXT_FORMAT|Address1: NAXAL, KATHMANDU/Address2: G.P.O.BOX-14261/Address3: /ContactAdd1: NAXAL, KATHMANDU/ContactAdd2: G.P.O.BOX-14261/ContactAdd3: /City: KATHMANDU/PhoneNo: 4412381,4444742/MobileNo: 9851021972/Fax2: /FaxNo: /PagerNo:|FULL_ADDRESS_PUMORI|||NAXAL, KATHMANDU|G.P.O.BOX-14261||01|
C000000682|C000000682||Mailing|01-01-1900||||||||||hamrosahakari@wlink.com.np||||||||||||||||DEF_CITY_CODE|DEF_STATE_CODE|DEF_ZIP_CODE|NEPAL||||||||||||||||||||||||||||||||||||||||||||||||||||||||Y|||DEF_BUS_CENTER||FREE_TEXT_FORMAT|Address1: LAZIMPAT-02, KATHMANDU/Address2: /Address3: /ContactAdd1: NAXAL-1, KATHMANDU/ContactAdd2: /ContactAdd3: /City: KATHMANDU/PhoneNo: 2081490, 014410424/MobileNo: /Fax2: /FaxNo: /PagerNo:|FULL_ADDRESS_PUMORI|||LAZIMPAT-02, KATHMANDU|||01|
C000000740|C000000740||Mailing|01-01-1900||||||||||hamidah@wlink.com.np||||||||||||||||DEF_CITY_CODE|DEF_STATE_CODE|DEF_ZIP_CODE|NEPAL||||||||||||||||||||||||||||||||||||||||||||||||||||||||Y|||DEF_BUS_CENTER||FREE_TEXT_FORMAT|Address1: BASUNDHARA,/Address2: KATHMANDU/Address3: /ContactAdd1: G.P.O. BOX 11605,/ContactAdd2: KATHMANDU/ContactAdd3: /City: KATHMANDU/PhoneNo: 4383888/MobileNo: 9851085899/Fax2: /FaxNo: 4380972/PagerNo: 71|FULL_ADDRESS_PUMORI|||BASUNDHARA,|KATHMANDU||01|
