Indicator|foracid|crncy_code|sol_id|nrml_accrued_amount_cr|interest_calc_upto_date_cr|accrued_upto_date_cr|booked_upto_date_cr|nrml_accrued_amount_dr|interest_calc_upto_date_dr|accrued_upto_date_dr|booked_upto_date_dr|Dummy|migr_cumbal_for_avgcalc_cr|migr_cumbal_date
INT||01|012|1491.75|20171125|20171126|20171126|||||||
INT||01|012|887.67|20171125|20171126|20171126|||||||
INT||01|012|2367.09|20171125|20171126|20171126|||||||
INT||01|012|801.45|20171125|20171126|20171126|||||||
INT||01|012|2268.45|20171125|20171126|20171126|||||||
INT||01|012|2663.01|20171125|20171126|20171126|||||||
INT||01|012|850.68|20171125|20171126|20171126|||||||
INT||01|012|1084.95|20171125|20171126|20171126|||||||
INT||01|012|542.43|20171125|20171126|20171126|||||||
INT||01|012|1356.12|20171125|20171126|20171126|||||||
INT||01|012|379.71|20171125|20171126|20171126|||||||
INT||01|012|2712.33|20171125|20171126|20171126|||||||
INT||01|012|258.93|20171125|20171126|20171126|||||||
INT||01|012|3472.56|20171125|20171126|20171126|||||||
INT||01|012|5876.52|20171125|20171126|20171126|||||||
INT||01|012|1171.26|20171125|20171126|20171126|||||||
INT||01|012|992.43|20171125|20171126|20171126|||||||
INT||01|012|3205.41|20171125|20171126|20171126|||||||
INT||01|012|1984.95|20171125|20171126|20171126|||||||
INT||01|012|271.26|20171125|20171126|20171126|||||||
INT||01|012|1196.64|20171125|20171126|20171126|||||||
INT||01|012|1134.27|20171125|20171126|20171126|||||||
INT||01|012|1627.38|20171125|20171126|20171126|||||||
INT||01|012|1356.12|20171125|20171126|20171126|||||||
INT||01|012|1084.95|20171125|20171126|20171126|||||||
INT||01|012|11095.92|20171125|20171126|20171126|||||||
INT||01|012|1386.99|20171125|20171126|20171126|||||||
INT||01|012|443.88|20171125|20171126|20171126|||||||
INT||01|012|1109.61|20171125|20171126|20171126|||||||
INT||01|012|443.88|20171125|20171126|20171126|||||||
INT||01|012|246.6|20171125|20171126|20171126|||||||
INT||01|012|2350.53|20171125|20171126|20171126|||||||
INT||01|012|5239.71|20171125|20171126|20171126|||||||
INT||01|012|1068.6|20171125|20171126|20171126|||||||
INT||01|012|493.11|20171125|20171126|20171126|||||||
INT||01|012|569.61|20171125|20171126|20171126|||||||
INT||01|012|50753.43|20171125|20171126|20171126|||||||
INT||01|012|271.26|20171125|20171126|20171126|||||||
INT||01|012|1417.77|20171125|20171126|20171126|||||||
INT||01|012|680.58|20171125|20171126|20171126|||||||
INT||01|012|283.59|20171125|20171126|20171126|||||||
INT||01|012|4253.4|20171125|20171126|20171126|||||||
INT||01|012|287.55|20171125|20171126|20171126|||||||
INT||01|012|813.69|20171125|20171126|20171126|||||||
INT||01|012|591.3|20171125|20171126|20171126|||||||
INT||01|012|246.6|20171125|20171126|20171126|||||||
INT||01|012|384.66|20171125|20171126|20171126|||||||
INT||01|012|1087.38|20171125|20171126|20171126|||||||
INT||01|012|1175.46|20171125|20171126|20171126|||||||
INT||01|012|493.11|20171125|20171126|20171126|||||||
INT||01|012|956.07|20171125|20171126|20171126|||||||
INT||01|012|1467.09|20171125|20171126|20171126|||||||
INT||01|012|1384.29|20171125|20171126|20171126|||||||
INT||01|012|850.68|20171125|20171126|20171126|||||||
INT||01|012|29383.38|20171125|20171126|20171126|||||||
INT||01|012|2465.73|20171125|20171126|20171126|||||||
INT||01|012|2243.88|20171125|20171126|20171126|||||||
INT||01|012|11835.63|20171125|20171126|20171126|||||||
INT||01|012|567.09|20171125|20171126|20171126|||||||
INT||01|012|283.59|20171125|20171126|20171126|||||||
INT||01|012|433.98|20171125|20171126|20171126|||||||
INT||01|012|379.71|20171125|20171126|20171126|||||||
INT||01|012|406.89|20171125|20171126|20171126|||||||
INT||01|012|2313.9|20171125|20171126|20171126|||||||
INT||01|012|1232.91|20171125|20171126|20171126|||||||
INT||01|012|1775.34|20171125|20171126|20171126|||||||
INT||01|012|2095.92|20171125|20171126|20171126|||||||
INT||01|012|4417.53|20171125|20171126|20171126|||||||
