Indicator|foracid|crncy_code|sol_id|nrml_accrued_amount_cr|interest_calc_upto_date_cr|accrued_upto_date_cr|booked_upto_date_cr|nrml_accrued_amount_dr|interest_calc_upto_date_dr|accrued_upto_date_dr|booked_upto_date_dr|Dummy|migr_cumbal_for_avgcalc_cr|migr_cumbal_date
INT||01|005|0.0|20170731|20171126|20171126|||||||
INT||01|005|0.0|20170801|20171126|20171126|||||||
INT||01|005|6758.31|20171125|20171126|20171126|||||||
INT||01|005|8548.02|20171125|20171126|20171126|||||||
INT||01|005|3667.77|20171125|20171126|20171126|||||||
INT||01|005|14794.56|20171125|20171126|20171126|||||||
INT||01|005|221.94|20171125|20171126|20171126|||||||
INT||01|005|6410.82|20171125|20171126|20171126|||||||
INT||01|005|10232.91|20171125|20171126|20171126|||||||
INT||01|005|10150.53|20171125|20171126|20171126|||||||
INT||01|005|2835.63|20171125|20171126|20171126|||||||
INT||01|005|295.92|20171125|20171126|20171126|||||||
INT||01|005|29383.38|20171125|20171126|20171126|||||||
INT||01|005|14424.54|20171125|20171126|20171126|||||||
INT||01|005|720.27|20171125|20171126|20171126|||||||
INT||01|005|4253.4|20171125|20171126|20171126|||||||
INT||01|005|3513.69|20171125|20171126|20171126|||||||
INT||01|005|12476.7|20171125|20171126|20171126|||||||
INT||01|005|507.96|20171125|20171126|20171126|||||||
INT||01|005|2071.26|20171125|20171126|20171126|||||||
INT||01|005|1984.95|20171125|20171126|20171126|||||||
INT||01|005|148137.84|20171125|20171126|20171126|||||||
INT||01|005|15879.42|20171125|20171126|20171126|||||||
INT||01|005|5917.77|20171125|20171126|20171126|||||||
INT||01|005|283.59|20171125|20171126|20171126|||||||
INT||01|005|4931.55|20171125|20171126|20171126|||||||
INT||01|005|5239.71|20171125|20171126|20171126|||||||
INT||01|005|1756.89|20171125|20171126|20171126|||||||
INT||01|005|5239.71|20171125|20171126|20171126|||||||
INT||01|005|2835.63|20171125|20171126|20171126|||||||
INT||01|005|17013.69|20171125|20171126|20171126|||||||
INT||01|005|2773.98|20171125|20171126|20171126|||||||
INT||01|005|3926.52|20171125|20171126|20171126|||||||
INT||01|005|638.01|20171125|20171126|20171126|||||||
INT||01|005|244.08|20171125|20171126|20171126|||||||
INT||01|005|8876.7|20171125|20171126|20171126|||||||
INT||01|005|942.24|20171125|20171126|20171126|||||||
INT||01|005|1496.04|20171125|20171126|20171126|||||||
INT||01|005|471.12|20171125|20171126|20171126|||||||
INT||01|005|2552.04|20171125|20171126|20171126|||||||
INT||01|005|32054.88|20171125|20171126|20171126|||||||
INT||01|005|4099.32|20171125|20171126|20171126|||||||
INT||01|005|14178.06|20171125|20171126|20171126|||||||
INT||01|005|3686.31|20171125|20171126|20171126|||||||
INT||01|005|6410.82|20171125|20171126|20171126|||||||
INT||01|005|17013.69|20171125|20171126|20171126|||||||
INT||01|005|4300.53|20171125|20171126|20171126|||||||
INT||01|005|2465.73|20171125|20171126|20171126|||||||
INT||01|005|1479.42|20171125|20171126|20171126|||||||
INT||01|005|5671.26|20171125|20171126|20171126|||||||
INT||01|005|5671.26|20171125|20171126|20171126|||||||
INT||01|005|542.43|20171125|20171126|20171126|||||||
INT||01|005|1787.67|20171125|20171126|20171126|||||||
INT||01|005|5235.75|20171125|20171126|20171126|||||||
INT||01|005|20958.93|20171125|20171126|20171126|||||||
INT||01|005|419.22|20171125|20171126|20171126|||||||
INT||01|005|7397.28|20171125|20171126|20171126|||||||
INT||01|005|7397.28|20171125|20171126|20171126|||||||
INT||01|005|32054.88|20171125|20171126|20171126|||||||
INT||01|005|3045.12|20171125|20171126|20171126|||||||
INT||01|005|1479.42|20171125|20171126|20171126|||||||
INT||01|005|14794.56|20171125|20171126|20171126|||||||
INT||01|005|12629.76|20171125|20171126|20171126|||||||
INT||01|005|283.59|20171125|20171126|20171126|||||||
INT||01|005|2958.93|20171125|20171126|20171126|||||||
INT||01|005|2835.63|20171125|20171126|20171126|||||||
INT||01|005|5917.77|20171125|20171126|20171126|||||||
INT||01|005|1219.32|20171125|20171126|20171126|||||||
INT||01|005|532.62|20171125|20171126|20171126|||||||
INT||01|005|295.92|20171125|20171126|20171126|||||||
INT||01|005|1923.48|20171125|20171126|20171126|||||||
INT||01|005|8334.3|20171125|20171126|20171126|||||||
INT||01|005|1775.34|20171125|20171126|20171126|||||||
INT||01|005|1282.32|20171125|20171126|20171126|||||||
INT||01|005|1183.59|20171125|20171126|20171126|||||||
INT||01|005|1656.99|20171125|20171126|20171126|||||||
INT||01|005|2564.25|20171125|20171126|20171126|||||||
