Indicator|foracid|crncy_code|sol_id|nrml_accrued_amount_cr|interest_calc_upto_date_cr|accrued_upto_date_cr|booked_upto_date_cr|nrml_accrued_amount_dr|interest_calc_upto_date_dr|accrued_upto_date_dr|booked_upto_date_dr|Dummy|migr_cumbal_for_avgcalc_cr|migr_cumbal_date
INT||01|004|1204.02|20171125|20171126|20171126|||||||
INT||01|004|1676.7|20171125|20171126|20171126|||||||
INT||01|004|1122.03|20171125|20171126|20171126|||||||
INT||01|004|3632.85|20171125|20171126|20171126|||||||
INT||01|004|32054.88|20171125|20171126|20171126|||||||
INT||01|004|1134.27|20171125|20171126|20171126|||||||
INT||01|004|567.09|20171125|20171126|20171126|||||||
INT||01|004|2958.93|20171125|20171126|20171126|||||||
INT||01|004|2958.93|20171125|20171126|20171126|||||||
INT||01|004|850.68|20171125|20171126|20171126|||||||
INT||01|004|425.34|20171125|20171126|20171126|||||||
INT||01|004|11835.63|20171125|20171126|20171126|||||||
INT||01|004|283.59|20171125|20171126|20171126|||||||
INT||01|004|1627.38|20171125|20171126|20171126|||||||
INT||01|004|1356.12|20171125|20171126|20171126|||||||
INT||01|004|271.26|20171125|20171126|20171126|||||||
INT||01|004|542.43|20171125|20171126|20171126|||||||
INT||01|004|271.26|20171125|20171126|20171126|||||||
INT||01|004|2712.33|20171125|20171126|20171126|||||||
INT||01|004|567.09|20171125|20171126|20171126|||||||
INT||01|004|271.26|20171125|20171126|20171126|||||||
INT||01|004|1627.38|20171125|20171126|20171126|||||||
INT||01|004|369.9|20171125|20171126|20171126|||||||
INT||01|004|3702.33|20171125|20171126|20171126|||||||
INT||01|004|986.31|20171125|20171126|20171126|||||||
INT||01|004|246.6|20171125|20171126|20171126|||||||
INT||01|004|1331.55|20171125|20171126|20171126|||||||
INT||01|004|776.7|20171125|20171126|20171126|||||||
INT||01|004|443.88|20171125|20171126|20171126|||||||
INT||01|004|104.76|20171125|20171126|20171126|||||||
INT||01|004|1431.69|20171125|20171126|20171126|||||||
INT||01|004|1068.6|20171125|20171126|20171126|||||||
INT||01|004|3945.24|20171125|20171126|20171126|||||||
INT||01|004|798.72|20171125|20171126|20171126|||||||
INT||01|004|2884.83|20171125|20171126|20171126|||||||
INT||01|004|22580.1|20171125|20171126|20171126|||||||
INT||01|004|4487.73|20171125|20171126|20171126|||||||
INT||01|004|1496.04|20171125|20171126|20171126|||||||
INT||01|004|1709.76|20171125|20171126|20171126|||||||
INT||01|004|1775.34|20171125|20171126|20171126|||||||
INT||01|004|283.59|20171125|20171126|20171126|||||||
INT||01|004|9172.62|20171125|20171126|20171126|||||||
INT||01|004|4734.27|20171125|20171126|20171126|||||||
INT||01|004|283.59|20171125|20171126|20171126|||||||
INT||01|004|283.59|20171125|20171126|20171126|||||||
INT||01|004|1417.77|20171125|20171126|20171126|||||||
INT||01|004|884.7|20171125|20171126|20171126|||||||
INT||01|004|567.09|20171125|20171126|20171126|||||||
INT||01|004|2712.33|20171125|20171126|20171126|||||||
INT||01|004|542.43|20171125|20171126|20171126|||||||
INT||01|004|678.06|20171125|20171126|20171126|||||||
INT||01|004|1817.4|20171125|20171126|20171126|||||||
INT||01|004|271.26|20171125|20171126|20171126|||||||
INT||01|004|271.26|20171125|20171126|20171126|||||||
INT||01|004|542.43|20171125|20171126|20171126|||||||
INT||01|004|22438.26|20171125|20171126|20171126|||||||
INT||01|004|100491.69|20171125|20171126|20171126|||||||
INT||01|004|3883.59|20171125|20171126|20171126|||||||
INT||01|004|1553.4|20171125|20171126|20171126|||||||
INT||01|004|3513.69|20171125|20171126|20171126|||||||
INT||01|004|240.24|20171125|20171126|20171126|||||||
INT||01|004|1763.19|20171125|20171126|20171126|||||||
INT||01|004|1087.32|20171125|20171126|20171126|||||||
INT||01|004|11835.63|20171125|20171126|20171126|||||||
INT||01|004|125.75|20171125|20171126|20171126|||||||
INT||01|004|694.59|20171125|20171126|20171126|||||||
INT||01|004|9616.62|20171125|20171126|20171126|||||||
INT||01|004|1538.55|20171125|20171126|20171126|||||||
INT||01|004|4025.58|20171125|20171126|20171126|||||||
INT||01|004|1602.9|20171125|20171126|20171126|||||||
INT||01|004|641.16|20171125|20171126|20171126|||||||
INT||01|004|961.74|20171125|20171126|20171126|||||||
INT||01|004|22976.85|20171125|20171126|20171126|||||||
INT||01|004|226.89|20171125|20171126|20171126|||||||
INT||01|004|11712.33|20171125|20171126|20171126|||||||
INT||01|004|5342.61|20171125|20171126|20171126|||||||
INT||01|004|3525.99|20171125|20171126|20171126|||||||
INT||01|004|2334.54|20171125|20171126|20171126|||||||
INT||01|004|496.26|20171125|20171126|20171126|||||||
INT||01|004|283.59|20171125|20171126|20171126|||||||
INT||01|004|304.74|20171125|20171126|20171126|||||||
INT||01|004|1701.36|20171125|20171126|20171126|||||||
INT||01|004|822.33|20171125|20171126|20171126|||||||
INT||01|004|567.09|20171125|20171126|20171126|||||||
INT||01|004|567.09|20171125|20171126|20171126|||||||
INT||01|004|2958.93|20171125|20171126|20171126|||||||
INT||01|004|29383.38|20171125|20171126|20171126|||||||
INT||01|004|3254.76|20171125|20171126|20171126|||||||
INT||01|004|5424.66|20171125|20171126|20171126|||||||
INT||01|004|1417.77|20171125|20171126|20171126|||||||
INT||01|004|271.26|20171125|20171126|20171126|||||||
INT||01|004|1084.95|20171125|20171126|20171126|||||||
INT||01|004|1182.6|20171125|20171126|20171126|||||||
INT||01|004|616.41|20171125|20171126|20171126|||||||
INT||01|004|1232.91|20171125|20171126|20171126|||||||
INT||01|004|25376.52|20171125|20171126|20171126|||||||
INT||01|004|246.6|20171125|20171126|20171126|||||||
INT||01|004|443.88|20171125|20171126|20171126|||||||
INT||01|004|3205.41|20171125|20171126|20171126|||||||
INT||01|004|443.88|20171125|20171126|20171126|||||||
INT||01|004|554.76|20171125|20171126|20171126|||||||
INT||01|004|1175.46|20171125|20171126|20171126|||||||
INT||01|004|694.59|20171125|20171126|20171126|||||||
INT||01|004|924.66|20171125|20171126|20171126|||||||
INT||01|004|833.43|20171125|20171126|20171126|||||||
INT||01|004|354.42|20171125|20171126|20171126|||||||
INT||01|004|2835.63|20171125|20171126|20171126|||||||
INT||01|004|2835.63|20171125|20171126|20171126|||||||
INT||01|004|567.09|20171125|20171126|20171126|||||||
INT||01|004|443.88|20171125|20171126|20171126|||||||
INT||01|004|4820.58|20171125|20171126|20171126|||||||
INT||01|004|326.07|20171125|20171126|20171126|||||||
INT||01|004|2958.93|20171125|20171126|20171126|||||||
INT||01|004|678.06|20171125|20171126|20171126|||||||
INT||01|004|567.09|20171125|20171126|20171126|||||||
INT||01|004|1377.9|20171125|20171126|20171126|||||||
INT||01|004|1356.12|20171125|20171126|20171126|||||||
INT||01|004|2197.62|20171125|20171126|20171126|||||||
INT||01|004|480.06|20171125|20171126|20171126|||||||
INT||01|004|325.44|20171125|20171126|20171126|||||||
INT||01|004|851.67|20171125|20171126|20171126|||||||
INT||01|004|2081.07|20171125|20171126|20171126|||||||
INT||01|004|554.76|20171125|20171126|20171126|||||||
INT||01|004|332.91|20171125|20171126|20171126|||||||
INT||01|004|104.76|20171125|20171126|20171126|||||||
INT||01|004|815.08|20171125|20171126|20171126|||||||
INT||01|004|349.32|20171125|20171126|20171126|||||||
INT||01|004|66.36|20171125|20171126|20171126|||||||
INT||01|004|8815.17|20171125|20171126|20171126|||||||
INT||01|004|694.59|20171125|20171126|20171126|||||||
