Indicator|foracid|crncy_code|sol_id|nrml_accrued_amount_cr|interest_calc_upto_date_cr|accrued_upto_date_cr|booked_upto_date_cr|nrml_accrued_amount_dr|interest_calc_upto_date_dr|accrued_upto_date_dr|booked_upto_date_dr|Dummy|migr_cumbal_for_avgcalc_cr|migr_cumbal_date
INT||01|013|1417.77|20171125|20171126|20171126|||||||
INT||01|013|1812.33|20171125|20171126|20171126|||||||
INT||01|013|1770.93|20171125|20171126|20171126|||||||
INT||01|013|1787.67|20171125|20171126|20171126|||||||
INT||01|013|201.96|20171125|20171126|20171126|||||||
INT||01|013|2835.63|20171125|20171126|20171126|||||||
INT||01|013|2098.35|20171125|20171126|20171126|||||||
INT||01|013|1775.34|20171125|20171126|20171126|||||||
INT||01|013|14794.56|20171125|20171126|20171126|||||||
INT||01|013|339.03|20171125|20171126|20171126|||||||
INT||01|013|11712.33|20171125|20171126|20171126|||||||
INT||01|013|7730.1|20171125|20171126|20171126|||||||
INT||01|013|2330.1|20171125|20171126|20171126|||||||
INT||01|013|128219.13|20171125|20171126|20171126|||||||
INT||01|013|32054.88|20171125|20171126|20171126|||||||
INT||01|013|32054.88|20171125|20171126|20171126|||||||
INT||01|013|739.71|20171125|20171126|20171126|||||||
INT||01|013|2663.01|20171125|20171126|20171126|||||||
INT||01|013|2663.01|20171125|20171126|20171126|||||||
INT||01|013|3254.76|20171125|20171126|20171126|||||||
INT||01|013|2958.93|20171125|20171126|20171126|||||||
INT||01|013|14794.56|20171125|20171126|20171126|||||||
INT||01|013|1282.32|20171125|20171126|20171126|||||||
INT||01|013|64109.76|20171125|20171126|20171126|||||||
INT||01|013|542.43|20171125|20171126|20171126|||||||
INT||01|013|2835.63|20171125|20171126|20171126|||||||
INT||01|013|2977.38|20171125|20171126|20171126|||||||
INT||01|013|14178.06|20171125|20171126|20171126|||||||
INT||01|013|271.26|20171125|20171126|20171126|||||||
INT||01|013|2835.63|20171125|20171126|20171126|||||||
INT||01|013|19849.32|20171125|20171126|20171126|||||||
INT||01|013|1219.32|20171125|20171126|20171126|||||||
INT||01|013|1276.02|20171125|20171126|20171126|||||||
INT||01|013|5671.26|20171125|20171126|20171126|||||||
INT||01|013|3452.04|20171125|20171126|20171126|||||||
INT||01|013|1726.02|20171125|20171126|20171126|||||||
INT||01|013|863.01|20171125|20171126|20171126|||||||
INT||01|013|493.11|20171125|20171126|20171126|||||||
INT||01|013|246.6|20171125|20171126|20171126|||||||
INT||01|013|2884.83|20171125|20171126|20171126|||||||
INT||01|013|6472.62|20171125|20171126|20171126|||||||
INT||01|013|1639.71|20171125|20171126|20171126|||||||
INT||01|013|11712.33|20171125|20171126|20171126|||||||
INT||01|013|443.88|20171125|20171126|20171126|||||||
